IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;Unnamed: 9;Unnamed: 10
Compute;Compute;Containers;Instance/Registry;core duration;Container Instances;Container Instances;Core Duration;Microsoft.ContainerInstance;;
Compute;Compute;Containers;Instance/Registry;duration;Container Instances;Container Instances;Duration;Microsoft.ContainerInstance;;
Compute;Compute;Containers;Instance/Registry;executions;Container Instances;Container Instances;Executions;Microsoft.ContainerInstance;;
Compute;Compute;Containers;Instance/Registry;memory duration;Container Instances;;Memory Duration;Microsoft.ContainerInstance;;
Compute;Compute;Containers;Instance/Registry;vcpu duration;Container Instances;;vCPU Duration;Microsoft.ContainerInstance;;
Compute;Compute;Containers;Instance/Registry;registry unit;Container Registry;Small;Registry Unit;Microsoft.ContainerRegistry;;
Compute;Compute;Containers;Instance/Registry;registry unit;Container Registry;Basic;Registry Unit;Microsoft.ContainerRegistry;;
Compute;Compute;Containers;Instance/Registry;registry unit;Container Registry;Standard;Registry Unit;Microsoft.ContainerRegistry;;
Compute;Compute;Containers;Instance/Registry;registry unit;Container Registry;Premium;Registry Unit;Microsoft.ContainerRegistry;;
Compute;Compute;Containers;Instance/Registry;%duration;Container Registry;;%Duration;Microsoft.ContainerRegistry;;
Compute;Compute;Containers;Instance/Registry;small registry unit;Container Registry;;Small Registry Unit;Microsoft.ContainerRegistry;;
Compute;Compute;Containers;Instance/Registry;basic registry unit;Container Registry;;Basic Registry Unit;Microsoft.ContainerRegistry;;
Compute;Compute;Containers;Instance/Registry;standard registry unit;Container Registry;;Standard Registry Unit;Microsoft.ContainerRegistry;;
Compute;Compute;Containers;Instance/Registry;premium registry unit;Container Registry;;Premium Registry Unit;Microsoft.ContainerRegistry;;
AI & ML;AI Services;Analytics;Intelligence;basic (daily unit);Cortana Intelligence;Customer Insights;Basic (Daily Unit);Microsoft.CustomerInsights;;
Storage;Databases;Data Storage;Analytics Storage;nan;Data Box;;;Microsoft.DataBox;;
Storage;Databases;Data Storage;Analytics Storage;pay-as-you-go analytics units;Data Lake Analytics;;Pay-as-you-go Analytics Units;Microsoft.DataLakeAnalytics;;
Storage;Databases;Data Storage;Analytics Storage;pay-as-you-go data at rest;Data Lake Store;;Pay-as-you-go Data at Rest;Microsoft.DataLakeStore;;
Storage;Databases;Data Storage;Analytics Storage;%transactions%;Data Lake Store;;%Transactions%;Microsoft.DataLakeStore;;
Other;Other;Other;Other;geo-replicated data transfer%;Data Management;;Geo-Replicated Data Transfer%;;;
Other;Other;Other;Other;nan;Data Management;Geo Redundant;;;;
Other;Other;Other;Other;nan;Data Management;;;;;
Other;Other;Other;Other;nan;Data Services;;;;;
Storage;Databases;Data Storage;Analytics Storage;100 dwus;SQL Data Warehouse;Compute Optimized%;100 DWUs;Microsoft.Sql;;
Network;Networking;Data Transfer;Connectivity;%data transfer%;Bandwidth;;%Data Transfer%;Microsoft.MachineLearningServices;;
Network;Networking;Data Transfer;Connectivity;%data transfer%;Bandwidth;;%Data Transfer%;Microsoft.Search;;
Network;Networking;Data Transfer;Connectivity;diagnostic tool api;Network Watcher;Network Watcher;Diagnostic Tool API;Microsoft.Network;;
Network;Networking;Data Transfer;Connectivity;%;Network Watcher;;%;microsoft.operationalinsights;;
Network;Networking;Data Transfer;Connectivity;%;Network Watcher;;%;Microsoft.Network;;
Network;Networking;Data Transfer;Connectivity;fixed cost;Application Gateway;Standard v2;Fixed Cost;Microsoft.Network;;
Network;Networking;Data Transfer;Connectivity;capacity units;Application Gateway;Standard v2;Capacity Units;Microsoft.Network;;
Network;Networking;Data Transfer;Connectivity;%data%;Application Gateway;Basic;%Data%;Microsoft.Network;;
Network;Networking;Data Transfer;Connectivity;%gateway%;Application Gateway;Basic;%Gateway%;Microsoft.Network;;
Network;Networking;Data Transfer;Connectivity;%gateway%;Application Gateway;WAF;%Gateway%;Microsoft.Network;;
Network;Networking;Data Transfer;Connectivity;nan;Application Gateway;WAF v2;;Microsoft.Network;;
